ID,Type,Amount,Price,RP,Smallsell,PV
0,Sell,6000,68.3236002984,61,0,0.0
1,Sell,600,67.8643007553,70,1,0.0
2,Buy,5500,68.0364726331,80,0,5442.9178106465
3,Sell,300,68.1609415676,54,1,0.0
4,Buy,9000,68.2831474004,47,0,3209.3079278206
5,Sell,400,67.6376909311,56,1,0.0
6,Sell,500,68.0052582101,45,1,0.0
7,Sell,700,68.0922840405,99,1,0.0
8,Sell,300,68.1561033665,64,1,0.0
9,Sell,700,67.6538800053,80,1,0.0
10,Sell,5200,68.195320707,80,0,0.0
11,Sell,400,67.8803389537,87,1,0.0
12,Sell,400,68.432928823,98,1,0.0
13,Buy,9000,68.3604728302,80,0,5468.8378264152
14,Sell,700,67.6989043522,66,1,0.0
15,Sell,6000,67.2811389306,80,0,0.0
16,Buy,7500,67.5761488861,50,0,3378.8074443068
17,Sell,600,68.9225010456,43,1,0.0
18,Buy,7500,67.9695996636,48,0,3262.5407838529
19,Buy,6500,67.5445380375,44,0,2971.9596736511
20,Buy,7500,68.2552682309,88,0,6006.4636043199
21,Sell,4000,68.0796879124,57,0,0.0
22,Sell,6000,68.433166863,54,0,0.0
23,Sell,4800,68.1833896297,53,0,0.0
24,Sell,700,68.3532543696,49,1,0.0
25,Sell,5200,67.855893387,82,0,0.0
26,Sell,700,68.184372687,84,1,0.0
27,Sell,600,67.8745159806,46,1,0.0
28,Buy,7000,68.2095289422,73,0,4979.2956127812
29,Sell,500,67.5247517844,53,1,0.0
30,Sell,600,67.768062873,47,1,0.0
31,Buy,8500,67.8529710099,60,0,4071.1782605911
32,Sell,300,67.7877415419,99,1,0.0
33,Sell,600,68.2655168568,60,1,0.0
34,Sell,600,67.6528227774,89,1,0.0
35,Sell,600,68.0603532092,48,1,0.0
36,Sell,4000,67.562389923,80,0,0.0
37,Sell,700,67.2676174958,76,1,0.0
38,Sell,400,67.9464183432,54,1,0.0
39,Buy,4500,68.0662805747,80,0,5445.302445974
40,Buy,4500,67.6628811895,50,0,3383.1440594766
41,Sell,5200,68.2835021004,51,0,0.0
42,Buy,4500,67.9409944202,91,0,6182.6304922406
43,Sell,400,68.1040917499,43,1,0.0
44,Buy,5500,67.9227823161,77,0,5230.0542383402
45,Sell,400,68.1132710897,87,1,0.0
46,Sell,400,68.1593914179,52,1,0.0
47,Sell,400,67.3864778895,62,1,0.0
48,Sell,5200,67.7548273428,46,0,0.0
49,Sell,700,67.8649893419,60,1,0.0
50,Buy,8500,67.8945791971,85,0,5771.0392317497
51,Sell,300,68.0153842347,51,1,0.0
