ID,Type,Amount,Price,RP,Smallsell,PV
0,Sell,6000,67.9154574738,61,0,0.0
1,Sell,5200,67.8096312563,74,0,0.0
2,Sell,300,68.2297844717,71,1,0.0
3,Buy,8000,67.9359308675,77,0,5231.0666767997
4,Sell,400,68.1281003767,62,1,0.0
5,Sell,4000,67.9230725772,55,0,0.0
6,Sell,300,67.683106984,59,1,0.0
7,Sell,400,68.0813489985,46,1,0.0
8,Sell,700,68.0911940268,89,1,0.0
9,Buy,4000,68.2730111961,80,0,5461.8408956916
10,Sell,400,67.8126803653,94,1,0.0
11,Sell,700,67.6354996663,61,1,0.0
12,Sell,5600,67.9347053072,47,0,0.0
13,Sell,600,68.0505820812,60,1,0.0
14,Buy,8000,68.2403210656,40,0,2729.6128426224
15,Sell,300,67.999114225,99,1,0.0
16,Sell,600,67.9723828267,95,1,0.0
17,Buy,4000,68.0872719904,95,0,6468.290839089
18,Buy,8500,67.7648476233,55,0,3727.0666192798
19,Sell,300,67.7700982315,63,1,0.0
20,Buy,8000,67.7517748119,60,0,4065.1064887137
21,Sell,600,67.7733578121,47,1,0.0
22,Sell,300,68.1341229421,58,1,0.0
23,Sell,4400,68.2275421091,58,0,0.0
24,Buy,5500,68.3090768154,89,0,6079.5078365679
25,Sell,300,68.1753208935,77,1,0.0
26,Sell,300,68.4461375806,68,1,0.0
27,Sell,400,67.9612733315,70,1,0.0
28,Sell,500,67.3610652119,81,1,0.0
29,Sell,500,67.7397400285,66,1,0.0
30,Sell,5600,67.978627045,42,0,0.0
31,Sell,700,68.3105127706,40,1,0.0
32,Buy,4000,67.6816612359,54,0,3654.8097067399
33,Sell,600,68.121352447,75,1,0.0
34,Sell,300,67.7659649598,43,1,0.0
35,Sell,700,67.9207868519,100,1,0.0
36,Sell,500,67.7567427128,42,1,0.0
37,Buy,6500,68.452663306,65,0,4449.4231148871
38,Sell,400,67.9454904922,73,1,0.0
39,Sell,500,68.1703262316,45,1,0.0
40,Sell,4400,67.9868853129,88,0,0.0
41,Sell,600,68.114981709,80,1,0.0
42,Buy,8500,68.1813313793,100,0,6818.133137926
43,Buy,9000,67.9903921307,54,0,3671.4811750587
44,Sell,700,67.7778606029,54,1,0.0
45,Sell,300,68.3205573301,71,1,0.0
46,Buy,9000,68.1309619382,82,0,5586.7388789349
47,Sell,700,67.87554205,80,1,0.0
48,Sell,300,68.3053465792,86,1,0.0
49,Buy,8000,67.7581100202,89,0,6030.471791794
50,Sell,4800,68.059461487,50,0,0.0
51,Sell,600,68.0226858326,99,1,0.0
52,Sell,600,68.2908024648,47,1,0.0
53,Sell,700,68.1049209508,60,1,0.0
54,Sell,300,68.4485574431,75,1,0.0
55,Sell,500,67.7544446913,72,1,0.0
56,Sell,5600,68.333506651,60,0,0.0
57,Sell,6000,68.0831501229,73,0,0.0
58,Sell,700,67.8430826287,44,1,0.0
59,Sell,5200,67.6743112487,69,0,0.0
60,Sell,5200,67.6475219743,98,0,0.0
61,Sell,4400,68.4580341289,52,0,0.0
62,Sell,5600,68.0358751341,71,0,0.0
63,Sell,700,67.9081260372,80,1,0.0
64,Sell,400,68.0220228142,61,1,0.0
65,Sell,600,68.0973922628,60,1,0.0
66,Sell,600,67.9485637818,53,1,0.0
67,Sell,600,67.72375462,55,1,0.0
68,Sell,400,67.8337581353,84,1,0.0
69,Buy,9000,67.8313537448,51,0,3459.3990409838
70,Buy,9000,67.8353142049,49,0,3323.930396041
71,Sell,4800,68.0343446277,66,0,0.0
72,Sell,600,68.5600878178,44,1,0.0
73,Sell,300,67.8801889179,98,1,0.0
74,Sell,500,68.3751285387,42,1,0.0
75,Sell,700,68.4146188312,67,1,0.0
76,Sell,700,68.1396565736,80,1,0.0
77,Sell,300,68.2685389735,60,1,0.0
78,Sell,5200,67.8144484738,92,0,0.0
79,Buy,6500,67.9469993825,75,0,5096.0249536896
80,Sell,300,67.5526181708,80,1,0.0
81,Sell,700,67.9174315587,82,1,0.0
82,Sell,400,68.0888175024,98,1,0.0
83,Sell,500,68.026034524,63,1,0.0
84,Sell,300,68.5329187897,61,1,0.0
85,Sell,400,68.1180801088,61,1,0.0
86,Buy,6000,68.5055400903,90,0,6165.4986081256
87,Sell,300,67.9145721263,91,1,0.0
88,Buy,8000,67.8150735174,73,0,4950.5003667686
89,Sell,300,67.5247048163,47,1,0.0
90,Buy,6500,67.5587665991,49,0,3310.3795633556
91,Sell,5200,67.5688305423,80,0,0.0
92,Buy,7500,68.0422080575,88,0,5987.7143090573
93,Buy,8500,67.7967423993,41,0,2779.6664383709
94,Buy,6000,67.5768919714,86,0,5811.612709539
95,Sell,500,67.8533775648,78,1,0.0
96,Sell,400,68.5195702221,63,1,0.0
97,Sell,700,68.6471499301,53,1,0.0
98,Sell,700,68.4475950695,68,1,0.0
99,Sell,400,67.9367291762,78,1,0.0
100,Sell,400,68.0460852304,55,1,0.0
101,Sell,400,67.6921209781,86,1,0.0
102,Sell,700,68.0807138699,73,1,0.0
103,Sell,400,68.1115588312,70,1,0.0
104,Sell,4800,67.8777171652,49,0,0.0
105,Sell,500,67.8049564278,73,1,0.0
106,Sell,700,67.9472456854,52,1,0.0
107,Sell,6000,68.1483111475,47,0,0.0
108,Sell,5600,68.1063100742,55,0,0.0
109,Sell,5200,67.6765515475,98,0,0.0
110,Sell,400,67.6370083026,80,1,0.0
111,Sell,500,67.956756612,53,1,0.0
112,Sell,700,67.9903452896,69,1,0.0
113,Sell,700,68.1125798493,48,1,0.0
114,Sell,700,67.8696582452,67,1,0.0
115,Sell,300,67.5103318717,75,1,0.0
116,Sell,400,68.0550892366,51,1,0.0
117,Sell,4000,67.824587311,81,0,0.0
118,Sell,4800,67.752115349,49,0,0.0
119,Sell,500,67.7455120158,91,1,0.0
120,Sell,4400,67.9704351407,80,0,0.0
121,Sell,700,67.3859074522,53,1,0.0
122,Sell,4000,68.2021312246,94,0,0.0
123,Sell,600,68.0419945899,62,1,0.0
124,Sell,500,68.0119370095,74,1,0.0
125,Sell,700,68.3376015895,81,1,0.0
126,Buy,9000,67.9197699036,60,0,4075.1861942157
127,Sell,6000,68.0198370872,44,0,0.0
128,Sell,5600,67.6109013407,50,0,0.0
129,Sell,6000,67.8129170311,80,0,0.0
130,Sell,4400,68.0619562367,68,0,0.0
131,Sell,600,68.0701189727,46,1,0.0
132,Sell,700,67.9491294337,87,1,0.0
133,Sell,6000,67.5127416934,82,0,0.0
134,Sell,4800,68.0559361768,50,0,0.0
135,Buy,6000,67.9053636472,43,0,2919.9306368282
136,Sell,4800,67.983776216,76,0,0.0
137,Sell,600,67.7386635021,74,1,0.0
138,Buy,7500,68.37819733,53,0,3624.0444584883
139,Sell,700,68.2139290538,50,1,0.0
140,Sell,600,67.8891951053,64,1,0.0
141,Buy,4500,68.0253292072,64,0,4353.6210692595
142,Sell,300,68.3808709494,51,1,0.0
143,Sell,500,67.7959495269,85,1,0.0
144,Buy,6500,67.6600186443,97,0,6563.021808496
145,Sell,400,67.8758380726,40,1,0.0
146,Sell,4800,68.0154084997,55,0,0.0
147,Sell,500,68.0968122364,62,1,0.0
148,Sell,4800,67.750581766,46,0,0.0
149,Sell,500,68.1754425349,97,1,0.0
150,Sell,300,67.820902453,79,1,0.0
151,Sell,4000,67.841175773,91,0,0.0
152,Buy,5000,67.9171856245,92,0,6248.3810774515
