ID,Type,Amount,Price,RP,Smallsell,PV
0,Sell,600,68.0095844781,87,1,0.0
1,Sell,400,68.4029774598,86,1,0.0
2,Sell,600,67.7711872075,60,1,0.0
3,Buy,6500,67.7867977143,96,0,6507.5325805714
4,Sell,400,67.6843659522,87,1,0.0
5,Sell,500,67.8168712086,69,1,0.0
6,Buy,4500,68.1859691367,62,0,4227.5300864752
7,Sell,600,67.9191161361,57,1,0.0
8,Buy,8000,67.9532892248,54,0,3669.4776181403
9,Sell,400,67.7834225711,84,1,0.0
10,Sell,300,67.6448542677,50,1,0.0
11,Buy,5500,68.2726812977,49,0,3345.3613835897
12,Sell,5200,67.9191801301,46,0,0.0
13,Sell,600,68.2487535132,76,1,0.0
14,Sell,700,68.001363924,82,1,0.0
15,Sell,300,67.8835794075,74,1,0.0
16,Sell,300,67.0,80,1,0.0
17,Sell,700,68.2796731281,58,1,0.0
18,Sell,300,68.1169901889,44,1,0.0
19,Sell,300,67.9971300364,79,1,0.0
20,Sell,400,68.0540384376,49,1,0.0
21,Sell,4800,68.2292339318,75,0,0.0
22,Sell,5200,68.5652107053,76,0,0.0
23,Sell,400,67.7480372137,45,1,0.0
24,Sell,600,68.2091467889,52,1,0.0
25,Sell,600,67.8017856297,40,1,0.0
26,Sell,600,68.3112711482,69,1,0.0
27,Sell,400,68.4754703751,56,1,0.0
28,Sell,600,67.8812489529,72,1,0.0
29,Sell,300,67.6048244064,85,1,0.0
30,Buy,6000,68.4356582206,72,0,4927.3673918832
31,Sell,400,67.9649776402,56,1,0.0
32,Sell,5200,68.5523157317,66,0,0.0
33,Sell,5200,68.027170431,70,0,0.0
34,Sell,600,67.8648407923,65,1,0.0
35,Sell,300,68.4215693933,43,1,0.0
36,Sell,6000,68.1493963454,66,0,0.0
37,Sell,4000,67.9396848478,69,0,0.0
38,Sell,6000,68.1068238474,99,0,0.0
39,Buy,9000,68.0946904609,47,0,3200.4504516622
40,Sell,600,67.7740288191,49,1,0.0
41,Sell,500,67.9214830975,74,1,0.0
42,Sell,600,67.6227204296,59,1,0.0
43,Sell,500,67.7079975461,53,1,0.0
44,Buy,7500,68.1223034416,92,0,6267.2519166254
45,Sell,600,68.4075302264,50,1,0.0
46,Sell,700,67.9695157713,59,1,0.0
47,Sell,6000,68.3460567959,53,0,0.0
48,Buy,5500,68.4807273574,97,0,6642.6305536712
49,Sell,600,67.6747816829,78,1,0.0
50,Sell,400,68.2634171563,100,1,0.0
51,Sell,400,68.1725556455,53,1,0.0
52,Buy,8000,67.9957810396,90,0,6119.6202935637
53,Sell,500,68.0249310762,70,1,0.0
54,Buy,5000,68.0565152914,100,0,6805.6515291401
55,Sell,400,67.5766022074,62,1,0.0
56,Sell,6000,67.962980885,57,0,0.0
57,Sell,300,68.4918912813,62,1,0.0
58,Sell,700,67.6996208152,51,1,0.0
59,Sell,700,67.8988823356,77,1,0.0
60,Sell,4000,68.1184424976,94,0,0.0
61,Buy,8500,68.0072050209,91,0,6188.6556569052
62,Buy,8500,68.4819547469,68,0,4656.7729227882
63,Sell,4000,67.5648000239,92,0,0.0
64,Sell,300,67.454081322,80,1,0.0
65,Buy,7500,67.8391979268,80,0,5427.1358341451
66,Sell,500,67.8524650098,93,1,0.0
67,Sell,5200,67.9158357737,73,0,0.0
68,Sell,300,68.1793033308,95,1,0.0
69,Sell,300,68.1848999923,79,1,0.0
70,Buy,5500,68.4308158439,66,0,4516.4338457
71,Sell,700,67.6827619059,100,1,0.0
72,Sell,6000,68.4115935117,92,0,0.0
73,Sell,600,67.5069170686,89,1,0.0
74,Sell,700,68.0564238715,83,1,0.0
75,Sell,700,68.2201960321,80,1,0.0
76,Sell,400,68.4169743365,52,1,0.0
77,Sell,4800,68.3142777859,98,0,0.0
78,Sell,300,68.2287181668,95,1,0.0
79,Sell,700,67.7961371299,46,1,0.0
80,Sell,300,67.8737720342,80,1,0.0
81,Sell,400,67.880472864,87,1,0.0
82,Sell,4000,68.5426459325,93,0,0.0
83,Sell,4400,67.7441545194,84,0,0.0
84,Sell,300,68.5413097265,74,1,0.0
85,Buy,7500,67.9184647985,68,0,4618.4556062963
86,Sell,4400,68.0494046295,86,0,0.0
87,Sell,4400,67.9544264171,96,0,0.0
88,Buy,7000,67.9772695316,47,0,3194.9316679842
89,Sell,700,67.7313787274,49,1,0.0
90,Sell,300,68.4898810976,81,1,0.0
91,Buy,5500,67.7725394879,51,0,3456.3995138823
92,Buy,4500,68.3595787987,83,0,5673.8450402924
93,Sell,400,67.5872700797,50,1,0.0
94,Sell,600,67.94436061,69,1,0.0
95,Sell,300,68.5249613165,87,1,0.0
96,Sell,700,68.4734602235,42,1,0.0
97,Buy,4500,68.3822310962,40,0,2735.2892438472
98,Buy,9000,68.1341918126,70,0,4769.3934268811
99,Sell,5600,67.8348391474,87,0,0.0
