ID,Type,Amount,Price,RP,Smallsell,PV
0,Buy,9000,67.5500347569,48,0,3242.4016683323
1,Sell,300,67.9188168017,71,1,0.0
2,Sell,500,68.0242595437,52,1,0.0
3,Sell,700,67.7301461464,64,1,0.0
4,Sell,700,67.8150912714,93,1,0.0
5,Sell,700,68.2390705912,99,1,0.0
6,Sell,600,67.6582922085,62,1,0.0
7,Sell,500,68.3498762384,94,1,0.0
8,Sell,600,67.8421419981,100,1,0.0
9,Sell,400,67.8435425362,76,1,0.0
10,Sell,400,68.263283337,97,1,0.0
11,Buy,6000,68.5573535583,70,0,4799.0147490816
12,Sell,700,68.171258019,47,1,0.0
13,Sell,600,68.0821068382,42,1,0.0
14,Sell,6000,67.6721537835,86,0,0.0
15,Sell,500,68.0442316231,69,1,0.0
16,Sell,700,67.8026415817,70,1,0.0
17,Sell,500,68.1013740714,82,1,0.0
18,Sell,600,68.8752974973,77,1,0.0
19,Sell,600,68.3128314442,92,1,0.0
20,Sell,4000,68.0570895169,42,0,0.0
21,Sell,700,67.7149021775,42,1,0.0
22,Sell,600,67.945836536,66,1,0.0
23,Sell,4400,67.5618360093,41,0,0.0
24,Buy,9000,67.8593745599,95,0,6446.640583192
25,Buy,4000,67.6133043699,81,0,5476.6776539586
26,Buy,5000,68.0369924322,41,0,2789.5166897195
27,Buy,8500,67.7783347823,78,0,5286.7101130232
28,Sell,400,68.1638713711,64,1,0.0
29,Sell,700,67.2242767767,72,1,0.0
30,Sell,700,68.1211115101,44,1,0.0
31,Sell,500,67.8264672335,62,1,0.0
32,Sell,400,67.6158235262,94,1,0.0
33,Sell,700,67.1899136906,73,1,0.0
34,Sell,500,67.8837157107,77,1,0.0
35,Sell,700,67.9885140652,72,1,0.0
36,Sell,600,67.8437611377,45,1,0.0
37,Sell,500,67.9713273002,96,1,0.0
38,Sell,4400,67.8526750549,46,0,0.0
39,Sell,5600,67.8846397179,88,0,0.0
40,Sell,500,67.6912210288,49,1,0.0
41,Sell,600,68.0788792296,71,1,0.0
42,Sell,4400,68.1215191606,94,0,0.0
43,Buy,6000,67.8657786162,47,0,3189.6915949614
44,Buy,4000,67.9549327561,88,0,5980.0340825337
45,Sell,500,68.7545987684,90,1,0.0
46,Sell,600,67.9116867565,68,1,0.0
47,Sell,400,68.0962931568,88,1,0.0
48,Sell,700,67.3211282515,48,1,0.0
49,Sell,700,67.429133621,46,1,0.0
50,Buy,6500,68.2016372231,92,0,6274.5506245254
51,Sell,4000,67.7862407255,40,0,0.0
52,Buy,5500,68.1058332768,64,0,4358.7733297126
53,Sell,700,67.4766464175,58,1,0.0
54,Sell,600,68.3263948061,60,1,0.0
55,Sell,300,67.2306972747,69,1,0.0
56,Sell,4800,68.354833583,80,0,0.0
57,Sell,400,67.8234895681,57,1,0.0
58,Buy,8000,67.8167869563,51,0,3458.6561347731
59,Sell,400,67.9972062939,66,1,0.0
60,Buy,7500,67.8138030031,63,0,4272.2695891959
61,Sell,400,68.0633705498,64,1,0.0
62,Sell,400,67.7414818954,65,1,0.0
63,Sell,500,67.6248604357,47,1,0.0
64,Sell,700,67.9642135149,92,1,0.0
65,Sell,700,67.1855679062,57,1,0.0
66,Sell,500,68.2008454999,63,1,0.0
67,Sell,600,68.2292087084,63,1,0.0
68,Sell,4400,68.2911551504,93,0,0.0
69,Sell,400,67.7560783915,81,1,0.0
70,Sell,400,68.5898987406,67,1,0.0
71,Sell,500,68.3883548976,94,1,0.0
72,Sell,500,67.801715914,48,1,0.0
73,Sell,500,68.3853379807,68,1,0.0
74,Sell,700,67.5156354648,51,1,0.0
75,Sell,400,67.5208205748,53,1,0.0
76,Sell,6000,68.1509572689,84,0,0.0
77,Sell,300,68.2009293388,67,1,0.0
78,Sell,500,67.4748835888,89,1,0.0
79,Sell,600,67.9344081806,44,1,0.0
80,Sell,500,67.7172320432,50,1,0.0
81,Sell,300,67.9136137874,80,1,0.0
82,Buy,5500,67.9480242495,78,0,5299.9458914575
83,Buy,6000,68.3979864628,43,0,2941.1134179001
84,Sell,500,68.3457132099,56,1,0.0
85,Sell,700,68.0353403939,49,1,0.0
86,Sell,4800,68.2100739776,82,0,0.0
87,Sell,700,68.4772412299,69,1,0.0
88,Buy,9000,68.0599288215,97,0,6601.8130956816
89,Sell,5200,68.7451461728,82,0,0.0
90,Sell,600,67.9042723507,46,1,0.0
91,Buy,4000,68.2320262963,74,0,5049.1699459231
92,Sell,600,68.3345501603,55,1,0.0
