ID,Type,Amount,Price,RP,Smallsell,PV
0,Sell,600,67.6639163851,97,1,0.0
1,Sell,500,67.6316990344,57,1,0.0
2,Sell,600,67.9279953408,99,1,0.0
3,Sell,4000,68.2176142569,88,0,0.0
4,Sell,500,67.3398049365,80,1,0.0
5,Sell,5200,67.8368636441,41,0,0.0
6,Buy,4500,68.0599242219,93,0,6329.5729526372
7,Sell,500,68.4802759224,50,1,0.0
8,Sell,700,67.2701570575,75,1,0.0
9,Sell,400,68.0335630175,85,1,0.0
10,Sell,700,68.3260075859,58,1,0.0
11,Sell,6000,67.9780348075,70,0,0.0
12,Sell,4000,68.0604262741,81,0,0.0
13,Sell,400,68.2563127255,60,1,0.0
14,Buy,8500,67.8796379689,67,0,4547.935743916
15,Sell,500,67.9151330731,53,1,0.0
16,Sell,400,67.8374262579,45,1,0.0
17,Sell,600,68.2990409357,47,1,0.0
18,Buy,5500,68.3480564581,49,0,3349.054766445
19,Sell,4400,68.0252342837,99,0,0.0
20,Sell,600,68.1176722072,95,1,0.0
21,Sell,4000,67.6917384773,93,0,0.0
22,Buy,9000,68.1811107801,59,0,4022.6855360245
23,Sell,400,68.0311326247,73,1,0.0
24,Sell,400,68.123261397,86,1,0.0
25,Sell,600,67.7739299181,84,1,0.0
26,Sell,600,67.7688893838,67,1,0.0
27,Sell,400,68.0444868979,90,1,0.0
28,Sell,4800,67.5095791051,51,0,0.0
29,Sell,500,67.3063527904,99,1,0.0
30,Sell,600,68.2602506577,81,1,0.0
31,Sell,400,67.3752402462,89,1,0.0
32,Sell,500,68.2988462343,56,1,0.0
33,Sell,600,68.3322470179,91,1,0.0
34,Buy,8500,68.4679213906,84,0,5751.3053968105
35,Sell,500,67.549264435,92,1,0.0
36,Buy,5500,68.4182936647,58,0,3968.2610325536
37,Sell,500,67.513423359,57,1,0.0
38,Sell,700,68.0655452837,95,1,0.0
39,Sell,600,68.2303951588,69,1,0.0
40,Sell,600,68.0470046695,60,1,0.0
41,Buy,5000,68.008581941,61,0,4148.5234983983
42,Sell,4400,68.0412725139,99,0,0.0
43,Sell,5600,68.2350934893,87,0,0.0
44,Sell,700,68.3948816396,71,1,0.0
45,Sell,4000,67.8403995672,76,0,0.0
46,Buy,7500,67.9001890517,96,0,6518.4181489677
47,Sell,500,67.9308957376,100,1,0.0
48,Sell,4000,67.6014029006,67,0,0.0
49,Buy,7500,68.0786155009,61,0,4152.7955455575
50,Sell,700,67.8646073132,61,1,0.0
51,Sell,300,68.5835781339,40,1,0.0
52,Sell,700,67.2809023499,45,1,0.0
53,Sell,700,68.1604074231,60,1,0.0
54,Sell,6000,67.78182397,72,0,0.0
55,Sell,500,68.0055946048,85,1,0.0
56,Buy,5500,67.3797623862,82,0,5525.1405156716
57,Sell,500,68.6217799802,83,1,0.0
58,Sell,5200,68.1161391173,71,0,0.0
59,Sell,400,68.4036697234,89,1,0.0
60,Buy,4000,67.9834235028,98,0,6662.3755032789
