ID,Type,Amount,Price,RP,Smallsell,PV
0,Sell,300,68.1499439708,75,1,0.0
1,Sell,700,68.0532846736,92,1,0.0
2,Sell,700,68.0693207026,56,1,0.0
3,Sell,4400,67.7619257248,80,0,0.0
4,Buy,4500,67.961070256,57,0,3873.7810045943
5,Sell,4400,67.6945674786,63,0,0.0
6,Sell,400,67.9577407618,56,1,0.0
7,Sell,300,67.9940056871,72,1,0.0
8,Buy,7500,68.6030151735,75,0,5145.2261380117
9,Sell,600,67.7085095583,40,1,0.0
10,Buy,9000,68.2413966114,95,0,6482.9326780809
11,Sell,400,68.1986834036,90,1,0.0
12,Sell,5200,67.8570682203,68,0,0.0
13,Buy,4500,68.3198832884,80,0,5465.5906630696
14,Buy,9000,67.6203232505,70,0,4733.4226275356
15,Buy,8500,68.3077134379,59,0,4030.1550928354
16,Sell,400,68.3368313524,68,1,0.0
17,Sell,500,68.3296275346,40,1,0.0
18,Sell,4400,68.0110402994,60,0,0.0
19,Buy,6500,68.4290530802,44,0,3010.8783355295
20,Buy,4000,68.1930316165,77,0,5250.8634344688
21,Sell,6000,67.8689311927,73,0,0.0
22,Buy,8500,68.0500158618,96,0,6532.801522736
23,Sell,600,68.1100383481,71,1,0.0
24,Sell,300,68.1124156992,87,1,0.0
25,Sell,400,68.3859496731,48,1,0.0
26,Buy,6000,68.4359839695,57,0,3900.8510862623
27,Sell,600,67.7980478995,53,1,0.0
28,Sell,500,68.0274305452,48,1,0.0
29,Sell,300,67.7687865863,59,1,0.0
30,Sell,400,68.0416326137,51,1,0.0
31,Sell,400,68.1329884288,84,1,0.0
32,Sell,4800,68.0428150932,40,0,0.0
33,Sell,300,68.2787081456,41,1,0.0
34,Sell,400,67.9484315408,68,1,0.0
35,Sell,600,68.0478157707,46,1,0.0
36,Buy,6000,67.7868143923,79,0,5355.1583369886
37,Buy,9000,68.33131368,49,0,3348.2343703222
38,Sell,700,68.0271584975,83,1,0.0
39,Buy,9000,68.2409260274,76,0,5186.3103780853
40,Sell,400,67.6463731644,82,1,0.0
41,Buy,4500,67.8072903227,88,0,5967.0415484013
42,Sell,4800,68.2709299579,96,0,0.0
43,Sell,500,68.0336842602,42,1,0.0
44,Sell,5600,67.9830041134,63,0,0.0
45,Sell,500,68.3296936944,47,1,0.0
46,Sell,4800,68.5726776734,80,0,0.0
47,Sell,300,67.9799437226,84,1,0.0
48,Sell,600,68.491945686,64,1,0.0
49,Sell,300,67.9942583068,86,1,0.0
50,Buy,4000,67.800725593,62,0,4203.6449867679
51,Sell,700,67.986484367,50,1,0.0
52,Sell,6000,68.3934458782,99,0,0.0
53,Sell,600,68.0577132692,97,1,0.0
54,Sell,400,68.4050252688,57,1,0.0
55,Sell,600,68.3464335941,57,1,0.0
56,Sell,500,67.9818357837,45,1,0.0
57,Sell,400,68.5171778983,55,1,0.0
58,Sell,600,67.9464867223,53,1,0.0
59,Buy,9000,67.8562909627,55,0,3732.0960029486
60,Sell,700,68.046678691,79,1,0.0
61,Sell,4000,67.975500618,41,0,0.0
62,Buy,4000,68.4453906346,58,0,3969.832656808
63,Sell,400,68.0082533676,83,1,0.0
64,Sell,5200,68.3316981477,42,0,0.0
65,Buy,7500,67.976119841,86,0,5845.9463063294
66,Sell,400,67.6487481391,53,1,0.0
67,Sell,300,68.1675856737,92,1,0.0
68,Buy,6500,68.4935919322,62,0,4246.6026997981
69,Buy,9000,68.0792164355,52,0,3540.1192546476
70,Buy,8500,68.2714137918,55,0,3754.927758548
71,Sell,300,67.9967560973,89,1,0.0
72,Sell,400,67.5837138656,55,1,0.0
73,Buy,6000,68.332079571,55,0,3758.264376407
74,Sell,700,68.0271361339,55,1,0.0
75,Sell,500,67.7532969877,79,1,0.0
76,Buy,8000,68.4650820784,53,0,3628.649350155
77,Sell,500,68.3974753323,53,1,0.0
78,Sell,400,67.7508053685,77,1,0.0
79,Sell,500,68.2954500791,91,1,0.0
80,Sell,300,68.508144915,64,1,0.0
